status,name,ocr_score,source,row,column,raw_text,label_box,crop_box,output
written,装金玻璃,0.999822,C:\MaaY\tools\analytics\bag-items-sample-1.png,1,1,装金玻璃,"[77, 451, 79, 24]","[83, 355, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\装金玻璃-bag.png
written,兵书全卷,0.99721,C:\MaaY\tools\analytics\bag-items-sample-1.png,1,2,兵书全卷,"[246, 451, 78, 24]","[251, 355, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\兵书全卷-bag.png
written,兵书残卷,0.998509,C:\MaaY\tools\analytics\bag-items-sample-1.png,1,3,兵书残卷,"[416, 452, 77, 23]","[419, 356, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\兵书残卷-bag.png
written,府君海棠,0.999886,C:\MaaY\tools\analytics\bag-items-sample-1.png,1,4,府君海棠,"[584, 451, 79, 24]","[587, 355, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\府君海棠-bag.png
written,蟠龙鼓,0.999628,C:\MaaY\tools\analytics\bag-items-sample-1.png,2,1,蟠龙鼓,"[86, 639, 60, 25]","[83, 543, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\蟠龙鼓-bag.png
written,银纹刀,0.999727,C:\MaaY\tools\analytics\bag-items-sample-1.png,2,2,银纹刀,"[255, 639, 59, 25]","[251, 543, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\银纹刀-bag.png
written,玉龟盾,0.99874,C:\MaaY\tools\analytics\bag-items-sample-1.png,2,3,玉龟盾,"[424, 639, 60, 25]","[419, 543, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\玉龟盾-bag.png
written,犀角弓,0.999289,C:\MaaY\tools\analytics\bag-items-sample-1.png,2,4,犀角弓,"[592, 639, 60, 25]","[587, 543, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\犀角弓-bag.png
written,梦魂兰,0.999812,C:\MaaY\tools\analytics\bag-items-sample-1.png,3,1,梦魂兰,"[87, 827, 59, 26]","[83, 731, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\梦魂兰-bag.png
written,震天鼓,0.999676,C:\MaaY\tools\analytics\bag-items-sample-1.png,3,2,震天鼓,"[255, 828, 60, 25]","[251, 732, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\震天鼓-bag.png
written,青铜刀,0.992795,C:\MaaY\tools\analytics\bag-items-sample-1.png,3,3,青铜刀,"[424, 828, 60, 25]","[419, 732, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\青铜刀-bag.png
written,彩纹盾,0.999885,C:\MaaY\tools\analytics\bag-items-sample-1.png,3,4,彩纹盾,"[592, 828, 60, 25]","[587, 732, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\彩纹盾-bag.png
written,铁胎弓,0.998225,C:\MaaY\tools\analytics\bag-items-sample-1.png,4,1,铁胎弓,"[87, 1016, 58, 25]","[83, 920, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\铁胎弓-bag.png
written,蜻蜓眼,0.999595,C:\MaaY\tools\analytics\bag-items-sample-1.png,4,2,蜻蜓眼,"[255, 1016, 59, 25]","[251, 920, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\蜻蜓眼-bag.png
written,紫云英,0.999194,C:\MaaY\tools\analytics\bag-items-sample-1.png,4,3,紫云英,"[423, 1015, 61, 25]","[419, 919, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\紫云英-bag.png
