id,name,slug
char_005_lusu,鲁肃,lusu
char_010_xuyou,许攸,xuyou
char_011_wenchou,文丑,wenchou
char_012_yanliang,颜良,yanliang
char_014_achan,阿蝉,achan
char_015_yanyan,严颜,yanyan
char_016_guanjing,关靖,guanjing
char_017_ganti,甘缇,ganti
char_021_gaolan,高览,gaolan
char_024_ganji,干吉,ganji
char_025_queshi,雀使,queshi
char_026_suigu,眭固,suigu
char_028_zhouqun,周群,zhouqun
char_033_louban,楼班,louban
char_034_xuzhi,徐稺,xuzhi
char_036_yangfu,杨阜,yangfu
char_037_fengshi,蜂使,fengshi
char_043_xiaoqiao,小乔,xiaoqiao
char_044_zhangliao,张辽,zhangliao
char_049_luji,陆绩,luji
char_054_wangyi,王异,wangyi
char_058_machao,马超,machao
char_061_gongsunshan,公孙珊,gongsunshan
char_084_chendengsp,陈登·黍王,chendeng-084
char_085_shizimiaosp,史子眇·赴烛,shizimiao-085
char_092_chengpu,程普,chengpu
char_111_fenggongjiu,酆公玖,fenggongjiu
char_112_pangde,庞德,pangde
